[2022-12-24 00:33:37.354] [info]  get printer list
[2022-12-24 00:35:05.619] [info]  checking for updates
[2022-12-24 00:37:25.777] [info]  checking for updates
[2022-12-24 00:40:35.120] [info]  checking for updates
[2022-12-24 00:44:58.619] [info]  checking for updates
[2022-12-24 00:48:06.752] [info]  checking for updates
[2022-12-24 00:54:31.997] [info]  checking for updates
[2022-12-24 00:59:36.918] [info]  checking for updates
[2022-12-24 01:02:26.800] [info]  checking for updates
[2022-12-24 21:22:12.333] [info]  checking for updates
[2022-12-24 23:39:32.405] [info]  0.1.1
[2022-12-24 23:39:51.634] [info]  0.1.1
[2022-12-24 23:40:13.753] [info]  0.1.1
[2022-12-24 23:42:45.627] [info]  0.1.1
[2022-12-24 23:43:27.089] [info]  0.1.1
[2022-12-24 23:43:52.448] [info]  0.1.1
[2022-12-24 23:44:46.333] [info]  0.1.1
[2022-12-24 23:44:52.623] [info]  0.1.1
[2022-12-24 23:44:57.500] [info]  0.1.1
[2022-12-24 23:45:07.290] [info]  0.1.1
[2022-12-24 23:46:26.379] [info]  0.1.1
[2022-12-24 23:46:37.716] [info]  0.1.1
[2022-12-24 23:47:12.558] [info]  0.1.1
[2022-12-24 23:47:45.702] [info]  0.1.1
[2022-12-24 23:48:11.408] [info]  0.1.1
[2022-12-24 23:48:44.365] [info]  0.1.1
[2022-12-24 23:49:42.931] [info]  0.1.1
[2022-12-24 23:51:23.119] [info]  0.1.1
[2022-12-24 23:52:06.844] [info]  0.1.1
[2022-12-24 23:54:04.963] [info]  0.1.1
[2022-12-24 23:57:50.671] [info]  0.1.1
[2022-12-24 23:58:17.083] [info]  0.1.1
[2022-12-24 23:59:17.800] [info]  0.1.1
[2022-12-24 23:59:18.840] [info]  0.1.1
[2022-12-25 00:00:18.022] [info]  0.1.1
[2022-12-25 00:01:40.223] [info]  0.1.1
[2022-12-25 00:02:11.410] [info]  0.1.1
[2022-12-25 00:02:26.436] [info]  0.1.1
[2022-12-25 00:02:43.549] [info]  0.1.1
[2022-12-25 00:05:08.068] [info]  checking for updates
[2022-12-25 00:05:08.345] [info]  0.1.1
[2022-12-25 00:08:29.958] [info]  0.1.1
[2022-12-25 00:09:01.371] [info]  0.1.1
[2022-12-25 00:09:01.379] [info]  0.1.1
[2022-12-25 00:11:48.874] [info]  0.1.1
[2022-12-25 00:11:48.882] [info]  0.1.1
[2022-12-25 00:12:32.319] [info]  0.1.1
[2022-12-25 00:12:32.326] [info]  0.1.1
[2022-12-25 00:12:50.492] [info]  0.1.1
[2022-12-25 00:12:50.499] [info]  0.1.1
[2022-12-25 00:13:52.427] [info]  0.1.1
[2022-12-25 00:14:14.921] [info]  0.1.1
[2022-12-25 00:15:27.239] [info]  0.1.1
[2022-12-25 00:15:30.297] [info]  0.1.1
[2022-12-25 00:18:05.221] [info]  0.1.1
[2022-12-25 00:18:58.746] [info]  0.1.1
